,id,Year,Name,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
1474,0,2021,B.A. Pass 3,136 min,"Drama, Romance",8.3,1877,Narendra Singh,Sunny Sachdeva,Armaan Sandhu,Ankita Sahu
756,1,2021,Ajeeb Daastaans,142 min,"Drama, Romance",6.7,4133,Neeraj Ghaywan,Kayoze Irani,Shashank Khaitan,Raj Mehta
14000,2,2021,The Big Bull,153 min,"Biography, Crime, Drama",6.1,11536,Kookie Gulati,Abhishek Bachchan,Nikita Dutta,Ileana D'Cruz
5649,3,2021,Hello Charlie,102 min,Comedy,5.6,3167,Pankaj Saraswat,Aadar Jain,Jackie Shroff,Shloka Pandit
14292,4,2021,The White Tiger,125 min,"Crime, Drama",7.1,49877,Ramin Bahrani,Adarsh Gourav,Rajkummar Rao,Priyanka Chopra Jonas
944,5,2021,Ammaa Ki Boli,117 min,"Comedy, Drama",8.1,871,Narayan Chauhan,Sanjay Mishra,Hrishitaa Bhatt,Master Aniket
15116,6,2021,Writing with Fire,92 min,Documentary,8.1,106,Sushmit Ghosh,Rintu Thomas,Meera Devi,Shyamkali Devi
11843,7,2021,Refl3ct,65 min,Sci-Fi,9.3,467,Nikhil Mahar,Vijay Mahar,Vijay Mahar,Nikhil Mahar
6958,8,2021,Kaagaz,109 min,"Biography, Comedy, Drama",7.6,6738,Satish Kaushik,Pankaj Tripathi,Monal Gajjar,Satish Kaushik
11418,9,2021,Raat Baaki Hai,100 min,"Drama, Thriller",5.2,332,Avinash Das,Paoli Dam,Anup Soni,Dipannita Sharma
12354,10,2021,Sandeep Aur Pinky Faraar,125 min,"Comedy, Crime, Drama",6.3,6489,Dibakar Banerjee,Parineeti Chopra,Arjun Kapoor,Jaideep Ahlawat
2931,11,2021,Cheer Haran,98 min,Documentary,9.1,123,Kuldeep Ruhil,Kuldeep Ruhil,,
13303,12,2021,Skater Girl,107 min,"Drama, Family, Sport",6.6,1154,Manjari Makijany,Amy Maghera,Waheeda Rehman,Rachel Saanchita Gupta
9906,13,2021,Nail Polish,128 min,Drama,7.4,3737,Bugs Bhargava Krishna,Arjun Rampal,Manav Kaul,Anand Tiwari
3224,14,2021,Consequence Karma,92 min,"Drama, Thriller",9,223,Shadab Ahmad,Sidharth Bhardwaj,Monis Khan,Pooja Gupta
14441,15,2021,Tribhanga,95 min,"Drama, Family",6.1,2508,Renuka Shahane,Kajol,Tanvi Azmi,Mithila Palkar
13211,16,2021,Silence: Can You Hear It,136 min,"Crime, Thriller",6.6,3324,Aban Bharucha Deohans,Sahil Vaid,Manoj Bajpayee,Hitha Chandrashekar
14898,17,2021,Viraat,150 min,Crime,8.9,294,Narendra Singh,Kritika Sachdeva,Ravi Jhanghu,Lokesh Tilakdhari
9652,18,2021,Mumbai Saga,135 min,"Action, Crime",6.1,7295,Sanjay Gupta,John Abraham,Emraan Hashmi,Mahesh Manjrekar
9510,19,2021,Mosagallu,85 min,Drama,7.9,1059,Jeffrey Gee Chin,Vishnu Manchu,Kajal Aggarwal,Sunil Shetty
6952,20,2021,Kaadan,170 min,"Action, Drama, Fantasy",9.1,2219,Prabu Solomon,Raghu Babu,Rana Daggubati,Abudhar Al Hassan
6518,21,2021,Jamun,92 min,"Drama, Family",7.5,409,Gaurav Mehra,Raghuvir Yadav,Shweta Basu Prasad,Sunny Hinduja
14201,22,2021,The Power,154 min,"Action, Crime, Drama",5.7,1544,Mahesh Manjrekar,Vidyut Jammwal,Shruti Haasan,Salil Ankola
4947,23,2021,Gaurav Gupta: Market Down Hai,50 min,Comedy,7.5,226,Neville Shah,Gaurav Gupta,,
10448,24,2021,Pagglait,114 min,"Comedy, Drama",6.9,7043,Umesh Bist,Sanya Malhotra,Sayani Gupta,Sheeba Chaddha
12673,25,2021,Secrets of Sinauli,56 min,"Documentary, History",9.3,1373,Raghav Jairath,Manoj Bajpayee,R.S. Bhist,K.N. Dixit
12734,26,2021,Shaadisthan,94 min,"Drama, Musical",6,191,Raj Singh Chaudhary,Nivedita Bhattacharya,Sanjay Dadhich,Kirti Kulhari
4734,27,2021,Flight,116 min,"Action, Thriller",8.3,359,Suraj Joshi,Vishal Arya,Babita Ashiwal,Shibani Bedi
13976,28,2020,Thappad,142 min,Drama,6.8,15063,Anubhav Sinha,Taapsee Pannu,Pavail Gulati,Kumud Mishra
12704,29,2020,Serious Men,114 min,"Comedy, Drama",6.8,6382,Sudhir Mishra,Sachin Krishn,Nawazuddin Siddiqui,Nassar
5238,30,2020,Guilty,119 min,"Drama, Thriller",5.4,3919,Ruchi Narain,Kiara Advani,Taher Shabbir,Akansha Ranjan Kapoor
11415,31,2020,Raat Akeli Hai,149 min,"Crime, Drama, Mystery",7.3,15769,Honey Trehan,Nawazuddin Siddiqui,Radhika Apte,Aditya Srivastav
4117,32,2020,Doordarshan,119 min,"Comedy, Drama",6.2,1336,Gagan Puri,Manu Rishi Chadha,Mahie Gill,Dolly Ahluwalia
3755,33,2020,Dhira,117 min,Animation,6.5,388,Arun Kumar Rapolu,Vivek Oberoi,Vijay Sethupathi,Sai Srinivas Bellamkonda
3206,34,2020,Comedy Couple,117 min,"Comedy, Romance",7.7,1662,Nachiket Samant,Saqib Saleem,Shweta Basu Prasad,Pooja Bedi
11667,35,2020,Ram Singh Charlie,104 min,Drama,8,1272,Nitin Kakkar,Kumud Mishra,Divya Dutta,Salima Raza
2963,36,2020,Chhalaang,136 min,"Comedy, Drama",6.8,15830,Hansal Mehta,Rajkummar Rao,Nushrat Bharucha,Mohd. Zeeshan Ayyub
9062,37,2020,Mee Raqsam,80 min,Drama,6.7,384,Baba Azmi,Juhaina Ahsan,Shivangi Gautam,Danish Husain
2593,38,2020,Bulbbul,94 min,"Drama, Horror, Mystery",6.6,10143,Anvita Dutt,Tripti Dimri,Avinash Tiwary,Rahul Bose
14419,39,2020,Torbaaz,133 min,"Action, Drama, Sport",6.8,5289,Girish Malik,Sanjay Dutt,Nargis Fakhri,Rahul Dev
6566,40,2020,Jawaani Jaaneman,119 min,"Comedy, Drama",6.6,6371,Nitin Kakkar,Saif Ali Khan,Alaya F,Tabu
